Energy (meV)          FC          FCHT        HT        TOT
-1.32600000e+02    2.61923531e-09    -9.10440727e-11    9.63050716e-13    2.52915429e-09
-1.32500000e+02    2.63937168e-09    -9.21765551e-11    9.79684016e-13    2.54817480e-09
-1.32400000e+02    2.65987050e-09    -9.33323013e-11    9.96678166e-13    2.56753487e-09
-1.32300000e+02    2.68073992e-09    -9.45118107e-11    1.01404078e-12    2.58724215e-09
-1.32200000e+02    2.70198824e-09    -9.57155920e-11    1.03177961e-12    2.60730443e-09
-1.32100000e+02    2.72362392e-09    -9.69441640e-11    1.04990255e-12    2.62772966e-09
-1.32000000e+02    2.74565557e-09    -9.81980550e-11    1.06841767e-12    2.64852593e-09
-1.31900000e+02    2.76809199e-09    -9.94778036e-11    1.08733317e-12    2.66970152e-09
-1.31800000e+02    2.79094213e-09    -1.00783958e-10    1.10665740e-12    2.69126483e-09
-1.31700000e+02    2.81421512e-09    -1.02117078e-10    1.12639887e-12    2.71322444e-09
-1.31600000e+02    2.83792027e-09    -1.03477733e-10    1.14656627e-12    2.73558910e-09
-1.31500000e+02    2.86206705e-09    -1.04866503e-10    1.16716842e-12    2.75836772e-09
-1.31400000e+02    2.88666513e-09    -1.06283979e-10    1.18821433e-12    2.78156936e-09
-1.31300000e+02    2.91172434e-09    -1.07730763e-10    1.20971316e-12    2.80520329e-09
-1.31200000e+02    2.93725473e-09    -1.09207469e-10    1.23167425e-12    2.82927893e-09
-1.31100000e+02    2.96326650e-09    -1.10714722e-10    1.25410711e-12    2.85380589e-09
-1.31000000e+02    2.98977007e-09    -1.12253157e-10    1.27702142e-12    2.87879394e-09
-1.30900000e+02    3.01677605e-09    -1.13823423e-10    1.30042706e-12    2.90425305e-09
-1.30800000e+02    3.04429523e-09    -1.15426180e-10    1.32433405e-12    2.93019338e-09
-1.30700000e+02    3.07233862e-09    -1.17062100e-10    1.34875263e-12    2.95662528e-09
-1.30600000e+02    3.10091744e-09    -1.18731867e-10    1.37369321e-12    2.98355927e-09
-1.30500000e+02    3.13004309e-09    -1.20436179e-10    1.39916639e-12    3.01100608e-09
-1.30400000e+02    3.15972721e-09    -1.22175745e-10    1.42518297e-12    3.03897664e-09
-1.30300000e+02    3.18998162e-09    -1.23951288e-10    1.45175394e-12    3.06748209e-09
-1.30200000e+02    3.22081840e-09    -1.25763543e-10    1.47889049e-12    3.09653375e-09
-1.30100000e+02    3.25224983e-09    -1.27613260e-10    1.50660401e-12    3.12614317e-09
-1.30000000e+02    3.28428839e-09    -1.29501201e-10    1.53490609e-12    3.15632209e-09
-1.29900000e+02    3.31694682e-09    -1.31428142e-10    1.56380854e-12    3.18708249e-09
-1.29800000e+02    3.35023809e-09    -1.33394874e-10    1.59332337e-12    3.21843654e-09
-1.29700000e+02    3.38417538e-09    -1.35402201e-10    1.62346281e-12    3.25039664e-09
-1.29600000e+02    3.41877213e-09    -1.37450941e-10    1.65423930e-12    3.28297543e-09
-1.29500000e+02    3.45404201e-09    -1.39541927e-10    1.68566552e-12    3.31618575e-09
-1.29400000e+02    3.48999894e-09    -1.41676009e-10    1.71775434e-12    3.35004068e-09
-1.29300000e+02    3.52665708e-09    -1.43854048e-10    1.75051888e-12    3.38455355e-09
-1.29200000e+02    3.56403085e-09    -1.46076923e-10    1.78397250e-12    3.41973790e-09
-1.29100000e+02    3.60213494e-09    -1.48345527e-10    1.81812878e-12    3.45560754e-09
-1.29000000e+02    3.64098427e-09    -1.50660771e-10    1.85300152e-12    3.49217650e-09
-1.28900000e+02    3.68059404e-09    -1.53023579e-10    1.88860480e-12    3.52945906e-09
-1.28800000e+02    3.72097971e-09    -1.55434893e-10    1.92495293e-12    3.56746977e-09
-1.28700000e+02    3.76215703e-09    -1.57895670e-10    1.96206044e-12    3.60622342e-09
-1.28600000e+02    3.80414200e-09    -1.60406886e-10    1.99994215e-12    3.64573506e-09
-1.28500000e+02    3.84695092e-09    -1.62969531e-10    2.03861311e-12    3.68602000e-09
-1.28400000e+02    3.89060036e-09    -1.65584614e-10    2.07808865e-12    3.72709383e-09
-1.28300000e+02    3.93510718e-09    -1.68253160e-10    2.11838436e-12    3.76897240e-09
-1.28200000e+02    3.98048853e-09    -1.70976214e-10    2.15951606e-12    3.81167183e-09
-1.28100000e+02    4.02676187e-09    -1.73754835e-10    2.20149990e-12    3.85520853e-09
-1.28000000e+02    4.07394493e-09    -1.76590105e-10    2.24435226e-12    3.89959918e-09
-1.27900000e+02    4.12205579e-09    -1.79483120e-10    2.28808981e-12    3.94486076e-09
-1.27800000e+02    4.17111278e-09    -1.82434997e-10    2.33272951e-12    3.99101051e-09
-1.27700000e+02    4.22113459e-09    -1.85446870e-10    2.37828859e-12    4.03806601e-09
-1.27600000e+02    4.27214021e-09    -1.88519896e-10    2.42478460e-12    4.08604510e-09
-1.27500000e+02    4.32414894e-09    -1.91655246e-10    2.47223535e-12    4.13496593e-09
-1.27400000e+02    4.37718043e-09    -1.94854116e-10    2.52065897e-12    4.18484697e-09
-1.27300000e+02    4.43125464e-09    -1.98117718e-10    2.57007389e-12    4.23570699e-09
-1.27200000e+02    4.48639187e-09    -2.01447286e-10    2.62049882e-12    4.28756508e-09
-1.27100000e+02    4.54261277e-09    -2.04844074e-10    2.67195283e-12    4.34044065e-09
