Energy (meV)          FC          FCHT        HT        TOT
-1.34100000e+02    9.17918258e-32    -1.24644254e-32    4.29523508e-34    7.97569238e-32
-1.34000000e+02    9.79804984e-32    -1.32957783e-32    4.57747615e-34    8.51424677e-32
-1.33900000e+02    1.04586308e-31    -1.41827289e-32    4.87839004e-34    9.08914185e-32
-1.33800000e+02    1.11637301e-31    -1.51289937e-32    5.19921521e-34    9.70282291e-32
-1.33700000e+02    1.19163400e-31    -1.61385369e-32    5.54127215e-34    1.03578990e-31
-1.33600000e+02    1.27196530e-31    -1.72155871e-32    5.90596892e-34    1.10571540e-31
-1.33500000e+02    1.35770754e-31    -1.83646543e-32    6.29480681e-34    1.18035580e-31
-1.33400000e+02    1.44922410e-31    -1.95905492e-32    6.70938661e-34    1.26002800e-31
-1.33300000e+02    1.54690269e-31    -2.08984026e-32    7.15141509e-34    1.34507008e-31
-1.33200000e+02    1.65115690e-31    -2.22936871e-32    7.62271206e-34    1.43584274e-31
-1.33100000e+02    1.76242797e-31    -2.37822393e-32    8.12521779e-34    1.53273079e-31
-1.33000000e+02    1.88118660e-31    -2.53702841e-32    8.66100098e-34    1.63614476e-31
-1.32900000e+02    2.00793491e-31    -2.70644607e-32    9.23226720e-34    1.74652257e-31
-1.32800000e+02    2.14320855e-31    -2.88718492e-32    9.84136797e-34    1.86433142e-31
-1.32700000e+02    2.28757887e-31    -3.08000007e-32    1.04908103e-33    1.99006967e-31
-1.32600000e+02    2.44165534e-31    -3.28569680e-32    1.11832670e-33    2.12426892e-31
-1.32500000e+02    2.60608805e-31    -3.50513386e-32    1.19215875e-33    2.26749625e-31
-1.32400000e+02    2.78157041e-31    -3.73922704e-32    1.27088098e-33    2.42035651e-31
-1.32300000e+02    2.96884201e-31    -3.98895290e-32    1.35481722e-33    2.58349489e-31
-1.32200000e+02    3.16869169e-31    -4.25535282e-32    1.44431274e-33    2.75759954e-31
-1.32100000e+02    3.38196079e-31    -4.53953725e-32    1.53973558e-33    2.94340442e-31
-1.32000000e+02    3.60954661e-31    -4.84269028e-32    1.64147807e-33    3.14169236e-31
-1.31900000e+02    3.85240613e-31    -5.16607448e-32    1.74995848e-33    3.35329827e-31
-1.31800000e+02    4.11155996e-31    -5.51103609e-32    1.86562263e-33    3.57911257e-31
-1.31700000e+02    4.38809648e-31    -5.87901054e-32    1.98894578e-33    3.82008489e-31
-1.31600000e+02    4.68317642e-31    -6.27152829e-32    2.12043451e-33    4.07722794e-31
-1.31500000e+02    4.99803753e-31    -6.69022112e-32    2.26062881e-33    4.35162171e-31
-1.31400000e+02    5.33399972e-31    -7.13682876e-32    2.41010426e-33    4.64441789e-31
-1.31300000e+02    5.69247045e-31    -7.61320604e-32    2.56947435e-33    4.95684459e-31
-1.31200000e+02    6.07495053e-31    -8.12133042e-32    2.73939300e-33    5.29021142e-31
-1.31100000e+02    6.48304022e-31    -8.66331005e-32    2.92055715e-33    5.64591479e-31
-1.31000000e+02    6.91844582e-31    -9.24139239e-32    3.11370966e-33    6.02544368e-31
-1.30900000e+02    7.38298662e-31    -9.85797329e-32    3.31964223e-33    6.43038572e-31
-1.30800000e+02    7.87860235e-31    -1.05156068e-31    3.53919866e-33    6.86243366e-31
-1.30700000e+02    8.40736108e-31    -1.12170156e-31    3.77327825e-33    7.32339231e-31
-1.30600000e+02    8.97146767e-31    -1.19651017e-31    4.02283938e-33    7.81518589e-31
-1.30500000e+02    9.57327273e-31    -1.27629588e-31    4.28890343e-33    8.33986588e-31
-1.30400000e+02    1.02152822e-30    -1.36138844e-31    4.57255889e-33    8.89961937e-31
-1.30300000e+02    1.09001676e-30    -1.45213932e-31    4.87496570e-33    9.49677796e-31
