Energy (meV)          FC          FCHT        HT        TOT
-1.33700000e+02    1.21638839e-07    -1.17713593e-08    2.84787532e-10    1.10152268e-07
-1.33600000e+02    1.21821001e-07    -1.17889877e-08    2.85214020e-10    1.10317228e-07
-1.33500000e+02    1.22003573e-07    -1.18066557e-08    2.85641467e-10    1.10482559e-07
-1.33400000e+02    1.22186555e-07    -1.18243634e-08    2.86069875e-10    1.10648262e-07
-1.33300000e+02    1.22369950e-07    -1.18421111e-08    2.86499248e-10    1.10814338e-07
-1.33200000e+02    1.22553757e-07    -1.18598987e-08    2.86929588e-10    1.10980788e-07
-1.33100000e+02    1.22737979e-07    -1.18777264e-08    2.87360899e-10    1.11147614e-07
-1.33000000e+02    1.22922617e-07    -1.18955943e-08    2.87793183e-10    1.11314816e-07
-1.32900000e+02    1.23107671e-07    -1.19135026e-08    2.88226443e-10    1.11482395e-07
-1.32800000e+02    1.23293144e-07    -1.19314514e-08    2.88660682e-10    1.11650354e-07
-1.32700000e+02    1.23479037e-07    -1.19494408e-08    2.89095903e-10    1.11818692e-07
-1.32600000e+02    1.23665350e-07    -1.19674708e-08    2.89532110e-10    1.11987411e-07
-1.32500000e+02    1.23852085e-07    -1.19855417e-08    2.89969304e-10    1.12156512e-07
-1.32400000e+02    1.24039243e-07    -1.20036536e-08    2.90407489e-10    1.12325997e-07
-1.32300000e+02    1.24226826e-07    -1.20218066e-08    2.90846668e-10    1.12495866e-07
-1.32200000e+02    1.24414834e-07    -1.20400008e-08    2.91286845e-10    1.12666121e-07
-1.32100000e+02    1.24603270e-07    -1.20582363e-08    2.91728021e-10    1.12836762e-07
-1.32000000e+02    1.24792134e-07    -1.20765132e-08    2.92170200e-10    1.13007791e-07
-1.31900000e+02    1.24981428e-07    -1.20948318e-08    2.92613386e-10    1.13179210e-07
-1.31800000e+02    1.25171153e-07    -1.21131920e-08    2.93057580e-10    1.13351019e-07
-1.31700000e+02    1.25361311e-07    -1.21315941e-08    2.93502787e-10    1.13523219e-07
-1.31600000e+02    1.25551902e-07    -1.21500382e-08    2.93949009e-10    1.13695813e-07
-1.31500000e+02    1.25742928e-07    -1.21685244e-08    2.94396250e-10    1.13868800e-07
-1.31400000e+02    1.25934390e-07    -1.21870528e-08    2.94844511e-10    1.14042182e-07
-1.31300000e+02    1.26126290e-07    -1.22056235e-08    2.95293798e-10    1.14215960e-07
-1.31200000e+02    1.26318629e-07    -1.22242367e-08    2.95744112e-10    1.14390136e-07
-1.31100000e+02    1.26511408e-07    -1.22428925e-08    2.96195457e-10    1.14564711e-07
-1.31000000e+02    1.26704629e-07    -1.22615911e-08    2.96647837e-10    1.14739685e-07
-1.30900000e+02    1.26898292e-07    -1.22803325e-08    2.97101253e-10    1.14915061e-07
-1.30800000e+02    1.27092401e-07    -1.22991169e-08    2.97555710e-10    1.15090839e-07
-1.30700000e+02    1.27286954e-07    -1.23179445e-08    2.98011210e-10    1.15267021e-07
-1.30600000e+02    1.27481955e-07    -1.23368153e-08    2.98467757e-10    1.15443608e-07
-1.30500000e+02    1.27677405e-07    -1.23557296e-08    2.98925353e-10    1.15620601e-07
-1.30400000e+02    1.27873304e-07    -1.23746873e-08    2.99384003e-10    1.15798001e-07
-1.30300000e+02    1.28069654e-07    -1.23936888e-08    2.99843710e-10    1.15975809e-07
-1.30200000e+02    1.28266457e-07    -1.24127340e-08    3.00304476e-10    1.16154028e-07
-1.30100000e+02    1.28463714e-07    -1.24318231e-08    3.00766305e-10    1.16332658e-07
-1.30000000e+02    1.28661427e-07    -1.24509564e-08    3.01229200e-10    1.16511700e-07
-1.29900000e+02    1.28859596e-07    -1.24701338e-08    3.01693164e-10    1.16691155e-07
-1.29800000e+02    1.29058223e-07    -1.24893556e-08    3.02158202e-10    1.16871026e-07
-1.29700000e+02    1.29257310e-07    -1.25086218e-08    3.02624315e-10    1.17051313e-07
-1.29600000e+02    1.29456858e-07    -1.25279327e-08    3.03091508e-10    1.17232017e-07
